PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.041283/2019-93;10/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;16.753.142/0001-60;CONEXÃO SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL/LDN/LDI;5040332;19/12/2019;18/12/2019;
53500.041392/2019-19;11/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;28.323.714/0001-50;IUNGO COMUNICAÇÃO E CONECTIVIDADE EIRELI;STFC-LOCAL/LDN/LDI;5040330;19/12/2019;18/12/2019;
53500.041487/2019-24;11/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;18.422.603/0001-47;LOGIC PRO SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA;STFC-LOCAL/LDN/LDI;5040331;19/12/2019;18/12/2019;
53500.041851/2019-56;15/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;24.605.227/0001-29;FRB TELECOMUNICAÇÕES - EIRELI - ME;STFC-LOCAL/LDN/LDI;5040328;19/12/2019;18/12/2019;
53500.041861/2019-91;15/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;10.717.962/0001-10;ATEKY INTERNET EIRELI;STFC-LOCAL/LDN/LDI;5044191;19/12/2019;18/12/2019;
53500.042370/2019-68;16/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;03.127.257/0001-05;ONNET TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;5044190;19/12/2019;18/12/2019;
53500.042360/2019-22;16/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;07.493.196/0001-42;DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL/LDN/LDI;5044189;19/12/2019;18/12/2019;
53500.042624/2019-48;17/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;12.990.044/0001-95;ATLANET TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;5044186;19/12/2019;18/12/2019;
53500.042634/2019-83;17/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;09.049.228/0001-40;TMW TELECOM;STFC-LOCAL/LDN/LDI;5044187;19/12/2019;18/12/2019;
53500.042688/2019-49;17/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;23.935.237/0001-60;VOA TELECOMUNICAÇÕES EIRELI;STFC-LOCAL/LDN/LDI;5044188;19/12/2019;18/12/2019;
53500.042756/2019-70;18/10/2019;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;26.828.386/0001-18;FIBER VOICE LTDA;STFC-LOCAL/LDN/LDI;5044185;19/12/2019;18/12/2019;
53500.047564/2019-50;01/11/2019;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;SMP;21.345.272/0001-01;LPNET TELECOMUNICAÇÕES LTDA;SMP;5034259;17/12/2019;17/12/2019;
53500.047571/2019-51;01/11/2019;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;SMP;10.864.699/0001-91;VIAVETORIAL TELECOMUNICAÇÕES LTDA;SMP;5034197;17/12/2019;17/12/2019;
53500.047575/2019-30;01/11/2019;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;SMP;11.001.854/0001-09;VIVA TELECOMUNICAÇÕES LTDA - ME;SMP;5034128;17/12/2019;17/12/2019;
