PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.027549/2014-81;10/11/2014;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL/LDN/LDI;2/SEI;20/01/2015;22/01/2015;Classe: II. Localização: SEI. Encaminhado Aditivo/SEI - Of adequação do bill & keep na modalidade local
53500.027550/2014-13;14/11/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;15.171.237/0001-02;SUL AMERICANA SERVIÇOS DE TELEFONIA LTDA (SOUTHTECH);STFC-LOCAL/LDN/LDI;3/SEI;20/01/2015;22/01/2015;Classe: II. Localização: SEI. 
53500.027551/2014-50;14/11/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;15.171.237/0001-02;SUL AMERICANA SERVIÇOS DE TELEFONIA LTDA (SOUTHTECH);STFC-LOCAL;77;21/08/2015;27/08/2015;Classe: I. Localização: SEI. 
53500.027552/2014-02;17/11/2014;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;27;10/03/2015;16/03/2015;Classe: I. Localização: SEI. 
53500.029182/2014-30;08/12/2014;CONTRATO;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL/LDN/LDI;06.913.777/0001-23;NOGUEIRA & DANTAS LTDA - ME (TELETALK);STFC-LOCAL/LDN/LDI;15;27/01/2015;28/01/2015;Classe: I. Localização: SEI. Dificuldade de comunicação inicial/Primeiro Aditivo encaminhado/Aguarda Pactuação VU-M
53500.029183/2014-84;08/12/2014;CONTRATO;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL/LDN/LDI;03.868.136/0001-08;GRUPO G1 TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;16;27/01/2015;28/01/2015;Classe: I. Localização: SEI. 
53504.021891/2014-37;16/12/2014;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL/LDN/LDI;123;26/11/2015;30/11/2015;Classe: I. Localização: SEI. 
53508.013062/2014-41;19/12/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;17;27/01/2015;28/01/2015;Classe: II. Localização: SEI. Aguarda Pactuação  - Exigência VU-M/Recebido Aditivo e enviado ao SEI
53508.013075/2014-10;19/12/2014;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;08.228.429/0001-42;BRASILFONE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;18;27/01/2015;29/01/2015;Classe: II. Localização: SEI. 
53508.013076/2014-64;19/12/2014;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;05.245.502/0001-04;MHNET TELECOMUNICAÇÕES EIRELI - EPP;STFC-LOCAL;19;27/01/2015;29/01/2015;Classe: II. Localização: SEI. 
53508.013063/2014-95;19/12/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;124;26/11/2015;30/11/2015;Classe: I. Localização: SEI. 
53508.013065/2014-84;19/12/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;13.114.336/0001-27;PORTO VELHO TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL;1;13/01/2016;21/01/2016;Classe: II. Localização: SEI. 
53508.013066/2014-29;19/12/2014;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;13.114.336/0001-27;PORTO VELHO TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL;3;13/01/2016;21/01/2016;Classe: I. Localização: SEI. 
53508.013200/2014-91;26/12/2014;CONTRATO;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL/LDN/LDI;08.316.162/0001-45;RST SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;20/2015/SEI;30/01/2015;02/02/2015;Classe: I. Localização: SEI. 
53500.000468/2009-76;29/12/2014;ADITIVO;40.432.544/0001-47;CLARO S.A.;SMP;08.163.618/0001-84;HELLO BRAZIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;29;23/03/2015;27/03/2015;Classe: II. Localização: SEI. 
53508.000400/2015-65;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;03.197.023/0001-26;UNIVERSAL TELECOM S.A. (UNITELCO);STFC-LOCAL;21/2015/SEI;30/01/2015;02/02/2015;Classe: II. Localização: SEI. 
53508.000402/2015-54;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;00.989.304/0001-23;WKVE ASSESSORIA EM SERVIÇOS DE INFORMÁTICA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;22/2015/SEI;30/01/2015;02/02/2015;Classe: II. Localização: SEI. 
53508.000397/2015-80;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;07.775.840/0001-75;TUBARON TECNOLOGIAS LTDA;STFC-LOCAL;24/2015/SEI;30/01/2015;02/02/2015;Classe: II. Localização: SEI. 
53508.000396/2015-35;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;00.989.304/0001-23;WKVE ASSESSORIA EM SERVIÇOS DE INFORMÁTICA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;28;10/03/2015;16/03/2015;Classe: I. Localização: SEI. 
53508.000401/2015-18;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;06.913.777/0001-23;NOGUEIRA & DANTAS LTDA - ME (TELETALK);STFC-LOCAL;33;15/04/2015;29/04/2015;Classe: II. Localização: SEI. 
53508.000398/2015-24;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;07.775.840/0001-75;TUBARON TECNOLOGIAS LTDA;STFC-LOCAL;120;26/11/2015;30/11/2015;Classe: I. Localização: SEI. 
53508.013063/2014-95;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;122;13/04/2017;18/04/2017;Classe: I. Localização: SEI. 
53508.013063/2014-95;15/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;02.677.129/0001-64;SIGNALINK INFORMÁTICA LTDA;STFC-LOCAL;122;13/04/2017;19/04/2017;Classe: I. Localização: SEI. 
53508.000588/2015-41;22/01/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;06.913.777/0001-23;NOGUEIRA & DANTAS LTDA - ME (TELETALK);STFC-LOCAL;36;06/05/2015;13/05/2015;Classe: I. Localização: SEI. 
53516.000414/2015-80;29/01/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;08.362.807/0001-86;SIMTERNET TECNOLOGIA DA INFORMAÇÃO LTDA - VOXBRAS;STFC-LOCAL/LDN/LDI;34;15/04/2015;29/04/2015;Classe: I. Localização: SEI. Dispensa de homologação.
53508.000993/2015-60;04/02/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;08.228.429/0001-42;BRASILFONE TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;121;26/11/2015;30/11/2015;Classe: I. Localização: SEI. 
53508.000992/2015-15;04/02/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL;127;26/11/2015;01/12/2015;Classe: I. Localização: SEI. 
53500.010426/2011-68;04/02/2015;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;02.558.157/0001-62;TELECOMUNICAÇÕES DE SÃO PAULO S/A - TELESP;STFC-LOCAL;130723;14/12/2015;14/12/2015;Classe: I. Localização: SEI. 
53500.200618/2015-98;04/02/2015;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;02.558.157/0001-62;TELECOMUNICAÇÕES DE SÃO PAULO S/A - TELESP;STFC-LOCAL;123960;14/12/2015;14/12/2015;Classe: I. Localização: SEI. Of adequação do bill & keep na modalidade local, enviado em nov/2014. Solicitação de dilação de prazo (+40 dias) (535080004492015), anexar tal documento no SEI quando aparecer no SEI.
53508.001325/2015-50;12/02/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;03.197.023/0001-26;UNIVERSAL TELECOM S.A. (UNITELCO);STFC-LOCAL;125;26/11/2015;30/11/2015;Classe: I. Localização: SEI. 
53516.000738/2015-18;18/02/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;02.255.187/0001-08;TPA INFORMÁTICA LTDA;STFC-LOCAL/LDN/LDI;126;26/11/2015;01/12/2015;Classe: I. Localização: SEI. 
53500.011949/2014-74;24/02/2015;ADITIVO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;09.425.735/0001-31;ULTRANET TELECOMUNICAÇÕES LTDA;STFC-LOCAL;38;25/05/2015;03/06/2015;Classe: I. Localização: SEI. 
53500.016263/2014-70;24/02/2015;ADITIVO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;06.346.446/0001-59;SITECNET INFORMÁTICA LTDA - ME;STFC-LOCAL;40;02/07/2015;15/07/2015;Classe: I. Localização: SEI. Processo 535080030592015 (LOCAL-LOCAL) anexado a este processo.
53500.011418/2014-81;25/02/2015;ADITIVO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;08.170.849/0001-15;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;43;02/07/2015;15/07/2015;Classe: I. Localização: SEI. 
53508.001639/2015-52;25/02/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;04.873.690/0001-44;GGNET TELECOMUNICAÇÕES LTDA;STFC-LOCAL;41;02/07/2015;15/07/2015;Classe: I. Localização: SEI. Processo 535080037562015 (LOCAL-LOCAL) anexado a este processo.
53508.001644/2015-65;25/02/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;04.873.690/0001-44;GGNET TELECOMUNICAÇÕES LTDA;STFC-LOCAL;42;02/07/2015;15/07/2015;Classe: II. Localização: SEI. 
53500.016086/2014-21;27/02/2015;ADITIVO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;08.170.849/0001-15;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;44;02/07/2015;15/07/2015;Classe: I. Localização: SEI. O relacionamento SMP-LD (535080041262015) foi anexado a este processo.
53508.002253/2015-68;11/03/2015;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;00.989.304/0001-23;WKVE ASSESSORIA EM SERVIÇOS DE INFORMÁTICA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL;45;01/07/2015;15/07/2015;Classe: I. Localização: SEI. Processos 53508.004128/2015-92 (LOC-LOC) e 53508.004129/2015-37 (LOC-LD)
53516.001360/2015-70;17/03/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;06.913.777/0001-23;NOGUEIRA & DANTAS LTDA - ME (TELETALK);STFC-LOCAL/LDN/LDI;46;01/07/2015;15/07/2015;Classe: I. Localização: SEI. 
53516.001361/2015-14;17/03/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;07.775.840/0001-75;TUBARON TECNOLOGIAS LTDA;STFC-LOCAL/LDN/LDI;50;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53516.001362/2015-69;17/03/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;08.316.162/0001-45;RST SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;51;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53516.001363/2015-11;17/03/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;03.868.136/0001-08;GRUPO G1 TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;52;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53508.002545/2015-09;19/03/2015;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;09.177.971/0001-86;AUE PROVEDOR DE INTERNET LTDA;STFC-LOCAL;69;22/09/2015;25/09/2015;Classe: II. Localização: SEI. 
53508.002546/2015-45;19/03/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL;84;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.002547/2015-90;19/03/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;09.446.842/0001-46;HIT TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;85;22/09/2015;25/09/2015;Classe: I. Localização: SEI. Enviado para digitalização e inclusão no SEI. Pactuação já incluída na planilha de VU-Ms.
53508.003057/2015-19;01/04/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;13.049.421/0001-59;UNIVERSO SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;62;02/09/2015;09/09/2015;Classe: II. Localização: SEI. Necessária adequação bill'n'keep. Já encaminhada.
53508.003058/2015-55;01/04/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;13.049.421/0001-59;UNIVERSO SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;65;26/08/2015;09/09/2015;Classe: I. Localização: SEI. 
53508.003423/2015-21;13/04/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;13.114.336/0001-27;ADYLNET ACESSO A INTERNET LTDA;STFC-LOCAL;80;09/09/2015;11/09/2015;Classe: II. Localização: SEI. 
53508.003424/2015-76;13/04/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;07.236.167/0001-03;TRI TELECOM LTDA;STFC-LOCAL;81;09/09/2015;11/09/2015;Classe: II. Localização: SEI. Enviado para digitalização e inclusão no SEI.
53508.003530/2015-50;15/04/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;04.873.690/0001-44;GGNET TELECOMUNICAÇÕES LTDA;STFC-LOCAL;61;09/09/2015;11/09/2015;Classe: II. Localização: SEI. 
53516.002058/2015-39;22/04/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;04.596.419/0001-09;AMPERNET TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL/LDN/LDI;57;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53508.003757/2015-03;24/04/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;04.596.419/0001-09;AMPERNET TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;60;02/09/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.003758/2015-40;24/04/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;04.596.419/0001-09;AMPERNET TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL;70;26/08/2015;09/09/2015;Classe: I. Localização: SEI. Enviado para digitalização e inclusão no SEI.  Será anexado ao processo 535000239982014.
53500.027463/2009-91;30/04/2015;ADITIVO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;82;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53500.011215/2009-28;30/04/2015;ADITIVO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;83;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.004124/2015-12;05/05/2015;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;03.197.023/0001-26;UNIVERSAL TELECOM S.A. (UNITELCO);STFC-LOCAL;66;26/08/2015;09/09/2015;Classe: I. Localização: SEI. 
53508.004125/2015-59;05/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;58.526.690/0001-05;IDT BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;68;26/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.004127/2015-48;05/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LOCAL/LDN/LDI;58.526.690/0001-05;IDT BRASIL TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;71;26/08/2015;09/09/2015;Classe: I. Localização: SEI. 
53508.004377/2015-88;12/05/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;STFC-LOCAL/LDN/LDI;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL/LDN/LDI;59;21/08/2015;27/08/2015;Classe: I. Localização: SEI. 
53508.004378/2015-22;12/05/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;STFC-LOCAL/LDN/LDI;13.049.421/0001-59;UNIVERSO SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;67;21/08/2015;09/09/2015;Classe: I. Localização: SEI. 
53508.004423/2015-49;13/05/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;06.346.446/0001-59;SITECNET INFORMÁTICA LTDA - ME;STFC-LDN/LDI;64;28/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.004422/2015-02;13/05/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL/LDN/LDI;63;09/09/2015;11/09/2015;Classe: II. Localização: SEI. 
53508.004475/2015-15;14/05/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL;87;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.004620/2015-68;19/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;12.488.125/0001-91;BR GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;39;12/06/2015;15/07/2015;Classe: I. Localização: SEI. 
53508.004619/2015-33;19/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;12.488.125/0001-91;BR GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;72;26/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.004621/2015-11;19/05/2015;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;12.488.125/0001-91;BR GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;86;22/09/2015;25/09/2015;Classe: I. Localização: SEI. Anexar o processo 535080072232015
53516.002795/2015-31;21/05/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;06.126.611/0001-67;DIGI SOLUÇÕES DE COMUNICAÇÃO LTDA (TELFLEX);STFC-LOCAL/LDN/LDI;56;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53516.002796/2015-86;21/05/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;09.580.731/0001-28;BMBB SERVIÇOS DE COMUNICAÇÃO LTDA;STFC-LOCAL/LDN/LDI;55;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53508.004863/2015-04;26/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;03.868.136/0001-08;GRUPO G1 TELECOMUNICAÇÕES LTDA;STFC-LOCAL;73;26/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.004864/2015-41;26/05/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;03.868.136/0001-08;GRUPO G1 TELECOMUNICAÇÕES LTDA;STFC-LOCAL;88;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.005146/2015-91;03/06/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL;74;26/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.005147/2015-36;03/06/2015;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL;89;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53500.010238/2011-30;08/06/2015;ADITIVO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;05.663.379/0001-33;GT GROUP INTERNATIONAL BRASIL TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;;13/08/2015;13/08/2015;Classe: II. Localização: SEI. Of adequação do bill & keep na modalidade local, enviado em dez/2014 pelo SEI.
53500.025729/2016-90;08/06/2015;ADITIVO;33.000.118/0001-79;TELEMAR NORTE LESTE S.A.;STFC-LOCAL;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL;475*;14/04/2016;14/04/2016;Classe: I. Localização: SEI. Of adequação do bill & keep na modalidade local, enviado em jan/2015.
53516.003172/2015-86;09/06/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL/LDN/LDI;54;13/08/2015;20/08/2015;Classe: I. Localização: SEI. Aguarda adequação bill'n'keep.
53500.012654/2015-04;17/06/2015;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;07.729.336/0001-39;ENSITE BRASIL TELECOMUNICAÇÕES LTDA - ME;STFC-LOCAL/LDN/LDI;91;22/09/2015;25/09/2015;Classe: I. Localização: SEI. bill'n'keep. Respondido por meio do protocolo 535080083212015 (enviado para inserir no SEI)
53500.012777/2015-37;19/06/2015;CONTRATO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;00.545.482/0001-65;NETWORLD PROVEDOR E SERVIÇO DE INTERNET LTDA;STFC-LOCAL/LDN/LDI;90;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.005885/2015-83;26/06/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.316.162/0001-45;RST SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;75;26/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53504.011509/2015-68;06/07/2015;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;SMP;08.868.001/0001-64;HOJE SISTEMAS DE INFORMÁTICA LTDA;STFC-LOCAL/LDN/LDI;2;13/01/2016;21/01/2016;Classe: II. Localização: SEI. 
53516.004068/2015-17;15/07/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;13.114.336/0001-27;ADYLNET ACESSO A INTERNET LTDA;STFC-LOCAL/LDN/LDI;53;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53516.004069/2015-53;15/07/2015;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;12.935.241/0001-01;CITTÁ TELECOM LTDA;STFC-LOCAL/LDN/LDI;58;13/08/2015;20/08/2015;Classe: I. Localização: SEI. 
53508.006719/2015-02;17/07/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL;114;20/11/2015;01/12/2015;Classe: I. Localização: SEI. 
53508.006718/2015-50;17/07/2015;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;20.098.734/0001-62;RED TELECOM EIRELI;STFC-LOCAL/LDN/LDI;68;28/03/2016;01/04/2016;Classe: II. Localização: SEI. 
53508.006773/2015-40;20/07/2015;CONTRATO;40.432.544/0001-47;CLARO S.A.;SMP;15.171.237/0001-02;SUL AMERICANA SERVIÇOS DE TELEFONIA LTDA (SOUTHTECH);STFC-LOCAL/LDN/LDI;76;21/08/2015;09/09/2015;Classe: II. Localização: SEI. 
53508.006843/2015-60;21/07/2015;ADITIVO;40.432.544/0001-47;CLARO S.A.;STFC-LOCAL/LDN/LDI;13.114.336/0001-27;ADYLNET ACESSO A INTERNET LTDA;STFC-LOCAL/LDN/LDI;92;22/09/2015;25/09/2015;Classe: I. Localização: DIGITALIZANDO. 
53500.204050/2015-84;28/07/2015;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL;76.535.764/0001-43;OI S.A.;STFC-LOCAL;97;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.007166/2015-05;31/07/2015;CONTRATO;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;12.990.463/0001-27;OTOGROUP SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;98;22/09/2015;25/09/2015;Classe: I. Localização: SEI. 
53508.007168/2015-96;31/07/2015;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;12.990.463/0001-27;OTOGROUP SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;99;22/09/2015;25/09/2015;Classe: II. Localização: SEI. 535000104272011. Exigência por conta do Bill&Keep. 
53508.007222/2015-01;04/08/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL/LDN/LDI;08.241.841/0001-40;WIRELESSCONECTION SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;95;22/09/2015;25/09/2015;Classe: I. Localização: SEI. Renúncia LD INTELIG. Desinteresse. Arquivamento.
53508.007223/2015-48;04/08/2015;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;08.241.841/0001-40;WIRELESSCONECTION SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;112;20/11/2015;01/12/2015;Classe: I. Localização: SEI. 
